presenca_ciencias_natureza,tipo_nota_ciencias_natureza,quantidade,presenca_ciencias_humanas,tipo_nota_ciencias_humanas,presenca_linguagem_codigos,tipo_nota_linguagem_codigos,presenca_matematica,tipo_nota_matematica,status_redacao,tipo_nota_redacao
Eliminado,Nulo,6664,,,,,,,,
Falta,Nulo,6685231,,,,,,,,
Presente,Com nota,9872947,,,,,,,,
Presente,Zero,18159,,,,,,,,
,,17715,Eliminado,Nulo,,,,,,
,,6116682,Falta,Nulo,,,,,,
,,10428820,Presente,Com nota,,,,,,
,,19784,Presente,Zero,,,,,,
,,17715,,,Eliminado,Nulo,,,,
,,6116682,,,Falta,Nulo,,,,
,,10440069,,,Presente,Com nota,,,,
,,8535,,,Presente,Zero,,,,
,,6664,,,,,Eliminado,Nulo,,
,,6685231,,,,,Falta,Nulo,,
,,9872559,,,,,Presente,Com nota,,
,,18547,,,,,Presente,Zero,,
,,17715,,,Eliminado,,,,nulo,Nulo
,,6116682,,,Falta,,,,nulo,Nulo
,,10751,,,Presente,,,,anulada,Zero
,,67569,,,Presente,,,,copia_texto_motivador,Zero
,,180949,,,Presente,,,,em_branco,Zero
,,103289,,,Presente,,,,fuga_ao_tema,Zero
,,9477,,,Presente,,,,nao_atendimento_ao_tipo_textual,Zero
,,10919,,,Presente,,,,parte_desconectada,Zero
,,10037140,,,Presente,,,,sem_problemas,Com nota
,,28510,,,Presente,,,,texto_insuficiente,Zero
